        N,        T,        X,     F(x),        P,   passed
        1,10000.000000,-0.134448, 0.082474, 1.000000,     true
        2,9500.000000,-0.734355,-0.234869, 1.000000,     true
        3,9025.000000,-1.934439, 0.083542, 0.999965,     true
        4,8573.750000,-0.985811,-0.407461, 1.000000,     true
        5,8145.062500,-0.589189, 0.085549, 0.999939,     true
        6,7737.809375,-1.069640,-0.305119, 1.000000,     true
        7,7350.918906,-0.270476, 0.248422, 0.999925,     true
        8,6983.372961,-0.097601, 0.045400, 1.000000,     true
        9,6634.204313,-1.171030,-0.133217, 1.000000,     true
       10,6302.494097,-1.106605,-0.245050, 1.000000,     true
       11,5987.369392,-1.575030,-0.003885, 0.999960,     true
       12,5688.000923,-0.468020, 0.279921, 0.999950,     true
       13,5403.600877,-0.192317, 0.152931, 1.000000,     true
       14,5133.420833,-0.621737, 0.014773, 1.000000,     true
       15,4876.749791,-0.897530,-0.434678, 1.000000,     true
       16,4632.912302,-1.272819, 0.020277, 0.999902,     true
       17,4401.266687,-1.935375, 0.085306, 0.999985,     true
       18,4181.203352,-0.931513,-0.435652, 1.000000,     true
       19,3972.143185,-0.962990,-0.423555, 0.999997,     true
       20,3773.536025,-1.940677, 0.095403, 0.999862,     true
       21,3584.859224,-1.273245, 0.020784, 1.000000,     true
       22,3405.616263,-1.632722,-0.054608, 1.000000,     true
       23,3235.335450,-0.696303,-0.153996, 1.000000,     true
       24,3073.568677,-1.143329,-0.181460, 1.000000,     true
       25,2919.890243,-1.833019,-0.063242, 0.999960,     true
       26,2773.895731,-0.629280,-0.002166, 0.999978,     true
       27,2635.200945,-0.112974, 0.059835, 0.999976,     true
       28,2503.440897,-1.369824, 0.094049, 0.999986,     true
       29,2378.268853,-1.642326,-0.062113, 1.000000,     true
       30,2259.355410,-1.637550,-0.058431, 0.999998,     true
       31,2146.387639,-0.936178,-0.434632, 1.000000,     true
       32,2039.068257,-1.227634,-0.040934, 0.999807,     true
       33,1937.114845,-1.138969,-0.189089, 1.000000,     true
       34,1840.259102,-1.527318, 0.038620, 0.999876,     true
       35,1748.246147,-0.081432, 0.032070, 1.000000,     true
       36,1660.833840,-1.655932,-0.071998, 1.000000,     true
       37,1577.792148,-1.958790, 0.131195, 0.999871,     true
       38,1498.902540,-0.623217, 0.011460, 1.000000,     true
       39,1423.957413,-1.201220,-0.082412, 1.000000,     true
       40,1352.759543,-0.812083,-0.366808, 1.000000,     true
       41,1285.121566,-1.952245, 0.118043, 0.999623,     true
       42,1220.865487,-0.105772, 0.052872, 1.000000,     true
       43,1159.822213,-1.689712,-0.091801, 1.000000,     true
       44,1101.831102,-1.549796, 0.019082, 0.999899,     true
       45,1046.739547,-0.372402, 0.317718, 0.999715,     true
       46,994.402570,-0.451578, 0.294374, 1.000000,     true
       47,944.682441,-1.635721,-0.056994, 1.000000,     true
       48,897.448319,-0.423510, 0.311408, 0.999590,     true
       49,852.575903,-1.215513,-0.059540, 1.000000,     true
       50,809.947108,-0.189736, 0.149630, 0.999742,     true
       51,769.449753,-0.841833,-0.400750, 1.000000,     true
       52,730.977265,-0.008632, 0.000372, 0.999451,     true
       53,694.428402,-1.381512, 0.096937, 0.999861,     true
       54,659.706982,-0.367259, 0.316648, 0.999667,     true
       55,626.721633,-0.906643,-0.436405, 1.000000,     true
       56,595.385551,-1.957553, 0.128690, 0.999051,     true
       57,565.616274,-1.988430, 0.193226, 0.999886,     true
       58,537.335460,-1.099153,-0.257601, 1.000000,     true
       59,510.468687,-0.094619, 0.042792, 0.999412,     true
       60,484.945252,-0.644386,-0.036435, 1.000000,     true
